mot,cos_1978,jacc_1978,cos_1981,jacc_1981,cos_1988,jacc_1988,cos_1993,jacc_1993,drift_moyen
change,0.7239,1.0,0.8198,0.9474,0.9038,1.0,0.8259,1.0,0.8183
entente,0.5972,1.0,0.7274,1.0,0.8197,1.0,0.9634,1.0,0.7769
exclure,0.7854,1.0,0.8685,1.0,0.6426,1.0,0.7515,1.0,0.762
chèque,0.597,0.9474,0.8093,0.9474,0.7925,0.9474,0.8232,1.0,0.7555
gain,0.5886,0.9474,0.731,1.0,0.7533,1.0,0.9429,1.0,0.754
résulter,0.8312,1.0,0.6391,1.0,0.7572,1.0,0.7457,1.0,0.7433
traitement,0.586,0.8889,0.7576,0.9474,0.7419,1.0,0.8714,1.0,0.7392
sortir,0.7526,1.0,0.77,0.9474,0.6461,1.0,0.7705,1.0,0.7348
procéder,0.7432,1.0,0.8444,1.0,0.6962,1.0,0.655,1.0,0.7347
francai,0.7091,1.0,0.7288,1.0,0.786,1.0,0.713,1.0,0.7342
véritablement,0.7551,1.0,0.7852,1.0,0.6479,1.0,0.7385,0.9474,0.7317
délai,0.7097,0.9474,0.8127,0.8889,0.7083,0.9474,0.6867,1.0,0.7293
contexte,0.6867,1.0,0.7974,1.0,0.7103,1.0,0.7201,1.0,0.7286
restauration,0.6302,1.0,0.6982,1.0,0.6831,1.0,0.8981,1.0,0.7274
barre,0.6501,1.0,0.7364,1.0,0.708,1.0,0.8151,0.9474,0.7274
réaffirmer,0.7017,1.0,0.6718,1.0,0.8096,1.0,0.718,1.0,0.7253
presque,0.7159,1.0,0.6825,1.0,0.7401,1.0,0.7599,0.9474,0.7246
yvon,0.7058,1.0,0.7107,1.0,0.785,1.0,0.6914,0.9474,0.7232
champ,0.5702,1.0,0.6967,0.9474,0.8222,1.0,0.8005,1.0,0.7224
besançon,0.7274,1.0,0.7735,1.0,0.7875,1.0,0.5964,0.9474,0.7212
récemment,0.6516,1.0,0.6921,1.0,0.8497,1.0,0.6915,0.9474,0.7212
revendiquer,0.6425,1.0,0.6372,1.0,0.7691,1.0,0.835,1.0,0.721
envoyer,0.694,1.0,0.8132,1.0,0.6809,0.9474,0.6939,0.9474,0.7205
évidemment,0.7606,1.0,0.8104,1.0,0.7158,1.0,0.5942,0.9474,0.7203
justement,0.8005,1.0,0.67,1.0,0.6892,1.0,0.7191,1.0,0.7197
partage,0.5291,1.0,0.711,1.0,0.7721,0.9474,0.8636,1.0,0.7189
conséquent,0.6238,1.0,0.753,0.9474,0.7765,1.0,0.7167,1.0,0.7175
réjouir,0.6171,1.0,0.6647,1.0,0.7111,1.0,0.8751,1.0,0.717
recours,0.479,1.0,0.7533,1.0,0.8553,1.0,0.7735,1.0,0.7153
début,0.5363,1.0,0.7819,1.0,0.838,1.0,0.7047,1.0,0.7152
noël,0.7608,1.0,0.6939,1.0,0.8133,1.0,0.5724,1.0,0.7101
belfort,0.7333,0.9474,0.8262,0.9474,0.6184,0.9474,0.6596,1.0,0.7094
manière,0.6681,1.0,0.7288,1.0,0.6663,1.0,0.7719,1.0,0.7088
uniquement,0.6856,1.0,0.6511,1.0,0.7444,1.0,0.7525,1.0,0.7084
isolé,0.7567,1.0,0.6218,1.0,0.6558,1.0,0.7913,1.0,0.7064
pied,0.6391,1.0,0.6433,1.0,0.8106,0.9474,0.7305,1.0,0.7059
redevenir,0.6922,1.0,0.7771,1.0,0.5428,1.0,0.8076,1.0,0.7049
préparation,0.7306,1.0,0.7894,1.0,0.6123,0.9474,0.6846,1.0,0.7043
caractériser,0.6443,1.0,0.6874,1.0,0.7663,1.0,0.7152,1.0,0.7033
démontrer,0.6412,1.0,0.6555,1.0,0.8073,1.0,0.7073,1.0,0.7028
