profession_grp,"T0: social, entreprise, liberté","T1: national, front, force","T2: entreprise, travailleur, payer","T3: france, majorité, député","T4: maire, conseiller, général","T5: national, immigration, france","T6: travailleur, contre, droit","T7: communiste, gauche, parti","T8: écologie, emploi, environnement","T9: travailleur, lutte, voter","T10: alsace, région, strasbourg","T11: travailleur, voter, gauche"
Autres professions,0.16237307883123592,0.047321505852746526,0.007600320590319666,0.16831138512380317,0.09676849039012336,0.063505978696042,0.07136763774698945,0.11793234138132634,0.13310088549266466,0.04225284790398974,0.013914629418624444,0.07555085811513697
Enseignement,0.16142134597621574,0.01895060241243202,0.0044340228007925505,0.1825129876774915,0.1072872892436529,0.028507832096261572,0.08404222134327112,0.18651431945555114,0.15735301808793517,0.010869454567726616,0.018319841065259145,0.0397870161783975
Santé,0.23622625810029893,0.03216686188387534,0.003749198260850399,0.2986004737257641,0.12564621770939102,0.04945919752892048,0.030560759694598816,0.054340685984977634,0.1311620259575319,0.008767516404636315,0.018812631607870278,0.010508126904466213
Ouvrier / technique,0.07292943960762939,0.009312464318791912,0.014070203621395888,0.06818629977490374,0.03457017962475692,0.02540657787839112,0.15323825005202185,0.23265321985316534,0.06784508920009334,0.07848006809150973,0.009982772254022996,0.23332539819353035
Ingénieur,0.167726682543891,0.0568035299660202,0.004427219848304307,0.20020566130578057,0.126254717142426,0.08031986110401267,0.05428955847464075,0.075829325635193,0.17944176621963717,0.02013034149334157,0.013800072252413993,0.020771218863508818
Avocat,0.2355189106864329,0.04378036189994283,0.002193731412096153,0.3374257351469363,0.12597990918203977,0.05209156666351657,0.01763676546855193,0.04711283669323691,0.10500138939061776,0.013576921716864391,0.015220977030212435,0.004460846342178214
Cadre,0.2005485909688634,0.0660304938039523,0.002419576594702972,0.21523247261323208,0.10887630490033809,0.10075213084305037,0.02188253506048727,0.08198166106094873,0.1562276850583894,0.030738859170879512,0.012059389441102214,0.0032502604567613115
Agriculture,0.2723052682879839,0.07904016106180346,0.003281522414081289,0.23522434690560673,0.09095983952826668,0.0679596711108398,0.042033295284863686,0.05620180974205064,0.12525687996910487,0.01472411604766628,0.007793490138822192,0.005219562553032086
Chef d'entreprise / direction,0.140068527936819,0.1254532393202908,0.0053209920743029215,0.2711194947670947,0.13796974826968836,0.09432027779314467,0.009197871020319326,0.020421609357617852,0.1718870311104183,0.01121027035771931,0.008747587537641266,0.004283329007716929
Médias,0.16871423027214674,0.05775185223052639,0.004998299595624341,0.18111709956248145,0.15598647895754475,0.047535112504031064,0.0726250923121935,0.11136319055199587,0.15490037889056907,0.02624902013162655,0.01278053810948712,0.005978672418102055
Commerce,0.2513525478459017,0.1022453254348735,0.0035961569967931165,0.15502774370100106,0.08317685877446844,0.12654361392290014,0.021998373634116247,0.033755245401362814,0.12582682064273215,0.06919416843867601,0.01926659948320519,0.0080165089121016
